"NumVertices","NumEdges","Diameter","AvgInDegree","AvgOutDegree"
450125,501424,121,1.25054818106082,1.25054818106082
365952,400804,73,1.23719230937391,1.23719230937391
263370,349016,56,1.51686600599916,1.51686600599916
196274,223182,63,1.31738793727137,1.31738793727137
188119,207293,85,1.29187907654198,1.29187907654198
